biomass_fraction,status,biomass,product_flux
1.0,optimal,0.8739215069684279,1.3552850623094811e-13
0.9526315789473684,optimal,0.8325252250593971,1.8064210526317084
0.9052631578947369,optimal,0.7911289431503663,3.6128421052632653
0.8578947368421053,optimal,0.7497326612413355,5.41926315789484
0.8105263157894737,optimal,0.7083363793323046,7.221800276171397
0.763157894736842,optimal,0.6669400974232739,8.763480779512019
0.7157894736842105,optimal,0.6255438155142431,10.305161282852668
0.6684210526315789,optimal,0.5841475336052123,11.121833710501182
0.6210526315789473,optimal,0.5427512516961814,11.75099510109559
0.5736842105263158,optimal,0.5013549697871508,12.38015649168999
0.5263157894736842,optimal,0.4599586878781199,13.0093178822844
0.47894736842105257,optimal,0.41856240596908906,13.638479272878806
0.43157894736842106,optimal,0.37716612406005834,14.267640663473205
0.38421052631578945,optimal,0.3357698421510275,14.896802054067612
0.33684210526315783,optimal,0.2943735602419967,15.525963444662008
0.2894736842105263,optimal,0.25297727833296596,16.155124835256412
0.2421052631578947,optimal,0.21158099642393513,16.784286225850828
0.1947368421052631,optimal,0.17018471451490433,17.41344761644523
0.1473684210526316,optimal,0.12878843260587358,18.04260900703963
0.1,optimal,0.0873921506968428,18.671770397634035
