subsystem,Blood,TumorCore,TumorEdge
Glyoxylate and dicarboxylate metabolism,-0.5557635080154448,1.1544347714395118,-0.598671263424067
Glycolysis / Gluconeogenesis,-0.07952616067632635,1.0373886074404226,-0.9578624467640975
Phenylalanine metabolism,-0.5773502691896258,-0.5773502691896258,1.1547005383792517
Oxidative phosphorylation,-1.0431439971026017,0.09275041446112735,0.9503935826414737
Pentose phosphate pathway,0.817485727060125,0.29750625295769234,-1.1149919800178172
Cholesterol biosynthesis 2,0.289106540613183,0.8235960240333934,-1.1127025646465745
Butanoate metabolism,-0.5911042701001601,1.1545904382717804,-0.5634861681716201
ROS detoxification,-0.642214725844814,1.152173054929394,-0.5099583290845808
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-0.2572459508719521,1.1034913719747033,-0.846245421102751
Vitamin E metabolism,-0.5773282496224492,-0.5773722884768709,1.1547005380993203
"Alanine, aspartate and glutamate metabolism",-0.7799474854074098,1.1273755599004038,-0.3474280744929939
Glutathione metabolism,-0.5773502691896257,1.1547005383792515,-0.5773502691896257
Folate metabolism,-0.5708806541958984,-0.5837958082523061,1.1546764624482044
Fructose and mannose metabolism,-0.5773502691896258,1.1547005383792515,-0.5773502691896258
Thiamine metabolism,-0.5773524049179116,-0.5773481334587062,1.154700538376618
Pyrimidine metabolism,-0.7956269739723694,-0.32691631695158463,1.1225432909239543
"Glycine, serine and threonine metabolism",-0.5810687261000107,1.1546925381900564,-0.5736238120900456
Arginine and proline metabolism,-0.4787638113760551,1.1493758120893316,-0.670612000713276
Nucleotide metabolism,-0.4728202073211538,-0.6759115439295621,1.1487317512507158
Miscellaneous,-0.6893039512328761,-0.45762294429011036,1.1469268955229865
Amino sugar and nucleotide sugar metabolism,-0.3558302636640299,-0.7734200444311096,1.1292503080951395
Starch and sucrose metabolism,-0.02702425153009583,1.0132382219393594,-0.9862139704092634
Pyruvate metabolism,1.0713044493882518,-0.9087876994760083,-0.16251674991224396
Peptide metabolism,-0.5834543483540388,1.154678950083456,-0.5712246017294175
Fatty acid metabolism,1.1547005383792515,-0.5773502691896258,-0.5773502691896258
Cholesterol metabolism,-0.565989924751786,1.1546265094240713,-0.5886365846722852
Pool reactions,-0.654411683147132,1.151104507503062,-0.4966928243559298
Prostaglandin biosynthesis,-0.02338294493991212,1.011486415653034,-0.9881034707131207
Exchange/demand reactions,-0.5700493873740828,1.154669892584744,-0.5846205052106611
Drug metabolism,-0.5118774806558355,1.152312592912918,-0.640435112257083
