glucose_uptake,growth
-20.0,1.7905689707194792
-19.0,1.6989042243443762
-18.0,1.6072394779692698
-17.0,1.5155747315941657
-16.0,1.4239099852190598
-15.0,1.332245238843955
-14.0,1.2405804924688506
-13.0,1.1489157460937454
-12.0,1.0572509997186414
-11.0,0.9655862533435355
-10.0,0.8739215069684305
-9.0,0.7822567605933262
-8.0,0.6905920142182207
-7.0,0.5989272678431162
-6.0,0.5072625214680114
-5.0,0.41559777509290635
-4.0,0.3239330287178012
-3.0,0.23226828234269645
-2.0,0.14060353596759137
-1.0,0.048384972296815
